,,,,,
Name,Scientific Name/Variety/Origin,MT Value or Range ng/g or pg/mL,No. of Samples,Quantified by,Reference
Animal Foods,,,,,
Meat,,,,,
Lamb,Not specified,1.6 กำ 0.14 ng/g,5,HPLC,[22]
Beef,Not specified,2.1 กำ 0.13 ng/g,5,HPLC,[22]
Pork,Not specified,2.5 กำ 0.18 ng/g,5,HPLC,[22]
Fish,,,,,
Salmon,Not specified,3.7 กำ 0.21 ng/g,5,HPLC,[22]
Chicken,,,,,
Meat and skin,Not specified,2.3 กำ 0.23 ng/g,5,HPLC,[22]
Liver and heart,Not specified,1.1 กำ 0.01 ng/g,5,HPLC,[22]
Egg,,,,,
Dried solids,Not specified,6.1 กำ 0.95 ng/g,5,HPLC,[22]
"Raw, whole",Not specified,1.54 ng/g,5,HPLC,[22]
Milk and dairy products,,,,,
Human milk,,,,,
Indian human milk,Not specified,15.92 กำ 1.02 pg/mL,6,LC-MS/MS,[37]
Breast milk,Not specified,0กV42 pg/mL,5,ELISA,[41]
Bovine milk,,,,,
"Fresh colostrum,",Not specified,0.06 ng/g,5,HPLC,[22]
Cow milk,Not specified,14.45 กำ 0.12 pg/mL,6,LC-MS/MS,[37]
Cow Milk,Holstein cows,4.03กV39.43 pg/mL,3,EIA,[38]
Colostrum powder,Not specified,0.6 กำ 0.06 ng/g,5,HPLC,[22]
Toned milk,Not specified,18.41 กำ 0.62 pg/mL,6,LC-MS/MS,[37]
Yoghurt Not specified 0.13 กำ 0.01 ng/mL 5 LC-MS/MS [42],,,,,
